comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
per_system_calibration_selected_baseline,two_tank,2,bad_rmse_or_event,0.002222222222222222,0.016666666666666666,True,False
per_system_calibration_selected_baseline,two_tank,3,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,3,bad_rmse,0.02222222222222222,0.05694444444444444,True,False
per_system_calibration_selected_baseline,two_tank,3,bad_rmse_or_event,0.02222222222222222,0.05694444444444444,True,False
per_system_calibration_selected_baseline,two_tank,4,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,4,bad_rmse,-0.04111111111111111,0.012222222222222223,True,False
per_system_calibration_selected_baseline,two_tank,4,bad_rmse_or_event,-0.04111111111111111,0.012222222222222223,True,False
per_system_calibration_selected_baseline,two_tank,5,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,5,bad_rmse,-0.02,-0.016666666666666666,True,False
per_system_calibration_selected_baseline,two_tank,5,bad_rmse_or_event,-0.02,-0.016666666666666666,True,False
per_system_calibration_selected_baseline,two_tank,6,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,6,bad_rmse,-0.013333333333333332,-0.004166666666666668,True,False
per_system_calibration_selected_baseline,two_tank,6,bad_rmse_or_event,-0.013333333333333332,-0.004166666666666668,True,False
per_system_calibration_selected_baseline,two_tank,7,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,7,bad_rmse,0.025555555555555554,0.07222222222222222,True,False
per_system_calibration_selected_baseline,two_tank,7,bad_rmse_or_event,-0.0077777777777777776,0.06111111111111111,True,False
per_system_calibration_selected_baseline,two_tank,8,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,8,bad_rmse,0.0022222222222222235,0.05555555555555556,True,False
per_system_calibration_selected_baseline,two_tank,8,bad_rmse_or_event,-0.0033333333333333327,0.061111111111111116,True,False
per_system_calibration_selected_baseline,two_tank,9,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,9,bad_rmse,-0.0033333333333333335,0.020833333333333332,True,False
per_system_calibration_selected_baseline,two_tank,9,bad_rmse_or_event,-0.0033333333333333335,0.020833333333333332,True,False
per_system_target_calibration_selected_baseline,cstr,0,bad_event,0.03928571428571429,0.10000000000000002,True,False
per_system_target_calibration_selected_baseline,cstr,0,bad_rmse,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,0,bad_rmse_or_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,1,bad_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,1,bad_rmse,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,1,bad_rmse_or_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,2,bad_event,0.03928571428571428,0.2,True,False
per_system_target_calibration_selected_baseline,cstr,2,bad_rmse,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,2,bad_rmse_or_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,3,bad_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,3,bad_rmse,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,3,bad_rmse_or_event,0.0,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,4,bad_event,-0.01428571428571428,0.0,True,False
per_system_target_calibration_selected_baseline,cstr,4,bad_rmse,0.0,0.0,True,False
